chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
jfreechart\src\main\java\org\jfree\chart\swing\AbstractOverlay.java,AbstractOverlay.java,101,69,0.683168,8,0.085396
jfreechart\src\main\java\org\jfree\chart\swing\ChartMouseEvent.java,ChartMouseEvent.java,96,68,0.708333,6,0.118056
jfreechart\src\main\java\org\jfree\chart\swing\PolarChartPanel.java,PolarChartPanel.java,215,99,0.460465,15,0.030698
jfreechart\src\main\java\org\jfree\chart\swing\ApplicationFrame.java,ApplicationFrame.java,114,79,0.692982,12,0.057749
jfreechart\src\main\java\org\jfree\chart\swing\CrosshairOverlay.java,CrosshairOverlay.java,567,173,0.305115,74,0.004123
jfreechart\src\main\java\org\jfree\chart\swing\MouseWheelHandler.java,MouseWheelHandler.java,139,75,0.539568,17,0.031739
jfreechart\src\main\java\org\jfree\chart\swing\ChartMouseListener.java,ChartMouseListener.java,59,52,0.881356,1,0.881356
jfreechart\src\main\java\org\jfree\chart\swing\NumberCellRenderer.java,NumberCellRenderer.java,78,48,0.615385,5,0.123077
jfreechart\src\main\java\org\jfree\chart\swing\OverlayChangeEvent.java,OverlayChangeEvent.java,50,44,0.88,2,0.44
jfreechart\src\main\java\org\jfree\chart\swing\OverlayChangeListener.java,OverlayChangeListener.java,48,43,0.895833,1,0.895833
jfreechart\src\main\java\org\jfree\chart\swing\SelectionZoomStrategy.java,SelectionZoomStrategy.java,160,136,0.85,1,0.85
jfreechart\src\main\java\org\jfree\chart\swing\DefaultSelectionZoomStrategy.java,DefaultSelectionZoomStrategy.java,239,83,0.34728,27,0.012862
jfreechart\src\main\java\org\jfree\chart\title\Title.java,Title.java,396,216,0.545455,48,0.011364
jfreechart\src\main\java\org\jfree\chart\title\DateTitle.java,DateTitle.java,154,117,0.75974,6,0.126623
jfreechart\src\main\java\org\jfree\chart\title\TextTitle.java,TextTitle.java,800,332,0.415,100,0.00415
jfreechart\src\main\java\org\jfree\chart\title\ImageTitle.java,ImageTitle.java,330,154,0.466667,28,0.016667
jfreechart\src\main\java\org\jfree\chart\title\package-info.java,package-info.java,4,3,0.75,0,∞
jfreechart\src\main\java\org\jfree\chart\title\CompositeTitle.java,CompositeTitle.java,223,126,0.565022,18,0.03139
jfreechart\src\main\java\org\jfree\chart\title\ShortTextTitle.java,ShortTextTitle.java,223,104,0.466368,21,0.022208
jfreechart\src\main\java\org\jfree\chart\entity\AxisEntity.java,AxisEntity.java,191,112,0.586387,15,0.039092
jfreechart\src\main\java\org\jfree\chart\entity\FlowEntity.java,FlowEntity.java,104,66,0.634615,8,0.079327
jfreechart\src\main\java\org\jfree\chart\entity\NodeEntity.java,NodeEntity.java,88,65,0.738636,5,0.147727
jfreechart\src\main\java\org\jfree\chart\entity\PlotEntity.java,PlotEntity.java,190,111,0.584211,15,0.038947
jfreechart\src\main\java\org\jfree\chart\entity\ChartEntity.java,ChartEntity.java,371,190,0.512129,34,0.015063
jfreechart\src\main\java\org\jfree\chart\entity\TitleEntity.java,TitleEntity.java,190,111,0.584211,15,0.038947
jfreechart\src\main\java\org\jfree\chart\entity\package-info.java,package-info.java,4,3,0.75,0,∞
jfreechart\src\main\java\org\jfree\chart\entity\XYItemEntity.java,XYItemEntity.java,153,97,0.633987,14,0.045285
jfreechart\src\main\java\org\jfree\chart\entity\TickLabelEntity.java,TickLabelEntity.java,57,47,0.824561,2,0.412281
jfreechart\src\main\java\org\jfree\chart\entity\EntityCollection.java,EntityCollection.java,95,82,0.863158,1,0.863158
jfreechart\src\main\java\org\jfree\chart\entity\JFreeChartEntity.java,JFreeChartEntity.java,190,111,0.584211,15,0.038947
jfreechart\src\main\java\org\jfree\chart\entity\LegendItemEntity.java,LegendItemEntity.java,154,98,0.636364,14,0.045455
jfreechart\src\main\java\org\jfree\chart\entity\PieSectionEntity.java,PieSectionEntity.java,211,130,0.616114,19,0.032427
jfreechart\src\main\java\org\jfree\chart\entity\CategoryItemEntity.java,CategoryItemEntity.java,175,110,0.628571,15,0.041905
